Source	Target	BLEU	Dataset (eval)	Source (Paper)	Eval Campaign or Conference	Source (other)	Domain	Type (BL: bilingual, ML: multilingual, ZS: zero-shot, US: unsupervised)
eng	ljl	1.716178813	lio_and_central_flores_eng_ljl_seacrowd_t2t					
ljl	eng	12.17482712	lio_and_central_flores_ljl_eng_seacrowd_t2t					
eng	ace	33.53129058	flores200_eng_Latn_ace_Latn_seacrowd_t2t					
eng	ban	31.41363138	flores200_eng_Latn_ban_Latn_seacrowd_t2t					
eng	bjn	7.607851698	flores200_eng_Latn_bjn_Latn_seacrowd_t2t					
eng	bug	17.8726038	flores200_eng_Latn_bug_Latn_seacrowd_t2t					
eng	ceb	46.25663671	flores200_eng_Latn_ceb_Latn_seacrowd_t2t					
eng	ilo	17.19845399	flores200_eng_Latn_ilo_Latn_seacrowd_t2t					
eng	ind	52.60644279	flores200_eng_Latn_ind_Latn_seacrowd_t2t					
eng	jav	44.15287231	flores200_eng_Latn_jav_Latn_seacrowd_t2t					
eng	kac	14.91249703	flores200_eng_Latn_kac_Latn_seacrowd_t2t					
eng	khm	34.23820919	flores200_eng_Latn_khm_Khmr_seacrowd_t2t					
eng	lao	39.23751688	flores200_eng_Latn_lao_Laoo_seacrowd_t2t					
eng	lus	18.30439869	flores200_eng_Latn_lus_Latn_seacrowd_t2t					
eng	min	37.00759098	flores200_eng_Latn_min_Latn_seacrowd_t2t					
eng	mya	36.15716285	flores200_eng_Latn_mya_Mymr_seacrowd_t2t					
eng	pag	30.23825416	flores200_eng_Latn_pag_Latn_seacrowd_t2t					
eng	shn	3.771518048	flores200_eng_Latn_shn_Mymr_seacrowd_t2t					
eng	sun	40.94316138	flores200_eng_Latn_sun_Latn_seacrowd_t2t					
eng	tha	39.7921807	flores200_eng_Latn_tha_Thai_seacrowd_t2t					
eng	vie	35.83162207	flores200_eng_Latn_vie_Latn_seacrowd_t2t					
eng	war	35.59338402	flores200_eng_Latn_war_Latn_seacrowd_t2t					
eng	zsm	51.98476278	flores200_eng_Latn_zsm_Latn_seacrowd_t2t					
eng	ind	50.39580816	ntrex_128_eng-US_ind_seacrowd_t2t					
eng	mya	15.61742607	ntrex_128_eng-US_mya_seacrowd_t2t					
eng	fil	46.33167157	ntrex_128_eng-US_fil_seacrowd_t2t					
eng	khm	39.6939016	ntrex_128_eng-US_khm_seacrowd_t2t					
eng	lao	32.57345855	ntrex_128_eng-US_lao_seacrowd_t2t					
eng	zlm	50.64874712	ntrex_128_eng-US_zlm_seacrowd_t2t					
eng	tha	36.45421213	ntrex_128_eng-US_tha_seacrowd_t2t					
eng	vie	36.03917422	ntrex_128_eng-US_vie_seacrowd_t2t					
eng	hmv	31.08716392	ntrex_128_eng-US_hmv_seacrowd_t2t					
eng	ind	43.40004321	nusax_mt_eng_ind_seacrowd_t2t					
eng	ace	30.85102119	nusax_mt_eng_ace_seacrowd_t2t					
eng	jav	35.88258949	nusax_mt_eng_jav_seacrowd_t2t					
eng	sun	33.62319033	nusax_mt_eng_sun_seacrowd_t2t					
eng	min	32.6009641	nusax_mt_eng_min_seacrowd_t2t					
eng	bug	17.36508668	nusax_mt_eng_bug_seacrowd_t2t					
eng	bbc	25.41118002	nusax_mt_eng_bbc_seacrowd_t2t					
eng	ban	28.3355278	nusax_mt_eng_ban_seacrowd_t2t					
eng	nij	19.19365705	nusax_mt_eng_nij_seacrowd_t2t					
eng	mad	18.32512967	nusax_mt_eng_mad_seacrowd_t2t					
eng	bjn	13.18538269	nusax_mt_eng_bjn_seacrowd_t2t					
ace	eng	40.73938331	flores200_ace_Latn_eng_Latn_seacrowd_t2t					
ban	eng	46.60500851	flores200_ban_Latn_eng_Latn_seacrowd_t2t					
bjn	eng	45.99321637	flores200_bjn_Latn_eng_Latn_seacrowd_t2t					
bug	eng	32.02850411	flores200_bug_Latn_eng_Latn_seacrowd_t2t					
ceb	eng	54.4557098	flores200_ceb_Latn_eng_Latn_seacrowd_t2t					
ilo	eng	45.43824435	flores200_ilo_Latn_eng_Latn_seacrowd_t2t					
ind	eng	54.0902508	flores200_ind_Latn_eng_Latn_seacrowd_t2t					
jav	eng	50.65024943	flores200_jav_Latn_eng_Latn_seacrowd_t2t					
kac	eng	25.53830742	flores200_kac_Latn_eng_Latn_seacrowd_t2t					
khm	eng	47.5845653	flores200_khm_Khmr_eng_Latn_seacrowd_t2t					
lao	eng	49.35556674	flores200_lao_Laoo_eng_Latn_seacrowd_t2t					
lus	eng	33.50765881	flores200_lus_Latn_eng_Latn_seacrowd_t2t					
min	eng	45.3440999	flores200_min_Latn_eng_Latn_seacrowd_t2t					
mya	eng	42.56769267	flores200_mya_Mymr_eng_Latn_seacrowd_t2t					
pag	eng	38.17337761	flores200_pag_Latn_eng_Latn_seacrowd_t2t					
shn	eng	34.9052912	flores200_shn_Mymr_eng_Latn_seacrowd_t2t					
sun	eng	50.95081895	flores200_sun_Latn_eng_Latn_seacrowd_t2t					
tha	eng	45.90163921	flores200_tha_Thai_eng_Latn_seacrowd_t2t					
vie	eng	49.15515099	flores200_vie_Latn_eng_Latn_seacrowd_t2t					
war	eng	51.30425475	flores200_war_Latn_eng_Latn_seacrowd_t2t					
zsm	eng	54.51021352	flores200_zsm_Latn_eng_Latn_seacrowd_t2t					
ind	eng	53.6047234	ntrex_128_ind_eng-US_seacrowd_t2t					
mya	eng	38.66503494	ntrex_128_mya_eng-US_seacrowd_t2t					
fil	eng	54.60335535	ntrex_128_fil_eng-US_seacrowd_t2t					
khm	eng	47.68268406	ntrex_128_khm_eng-US_seacrowd_t2t					
lao	eng	48.93315021	ntrex_128_lao_eng-US_seacrowd_t2t					
zlm	eng	52.12014958	ntrex_128_zlm_eng-US_seacrowd_t2t					
tha	eng	47.62907726	ntrex_128_tha_eng-US_seacrowd_t2t					
vie	eng	47.93367902	ntrex_128_vie_eng-US_seacrowd_t2t					
hmv	eng	40.72460173	ntrex_128_hmv_eng-US_seacrowd_t2t					
ace	eng	30.96161576	nusax_mt_ace_eng_seacrowd_t2t					
jav	eng	36.23415724	nusax_mt_jav_eng_seacrowd_t2t					
sun	eng	37.09685237	nusax_mt_sun_eng_seacrowd_t2t					
min	eng	34.52266206	nusax_mt_min_eng_seacrowd_t2t					
bug	eng	23.22372372	nusax_mt_bug_eng_seacrowd_t2t					
bbc	eng	25.1576229	nusax_mt_bbc_eng_seacrowd_t2t					
ban	eng	33.20046551	nusax_mt_ban_eng_seacrowd_t2t					
nij	eng	27.97945857	nusax_mt_nij_eng_seacrowd_t2t					
mad	eng	27.48991006	nusax_mt_mad_eng_seacrowd_t2t					
bjn	eng	33.46505983	nusax_mt_bjn_eng_seacrowd_t2t					